,precision,recall,f1-score,support
0,0.9940652818991098,0.9882005899705014,0.9911242603550297,2034.0
1,1.0,1.0,1.0,2274.0
2,0.9980870396939263,0.9952312827849309,0.9966571155682903,2097.0
3,0.999176276771005,0.9914180629342052,0.9952820512820513,2447.0
4,0.9794330183435241,1.0,0.9896096602078067,1762.0
5,1.0,1.0,1.0,1739.0
accuracy,0.9955476402493322,0.9955476402493322,0.9955476402493322,0.9955476402493322
macro avg,0.9951269361179276,0.9958083226149396,0.9954455145688629,12353.0
weighted avg,0.9956012817292069,0.9955476402493322,0.9955544497435579,12353.0
