,precision,recall,f1-score,support
0,0.9935419771485345,0.999000999000999,0.9962640099626402,2002.0
1,1.0,1.0,1.0,2212.0
2,0.9990448901623686,1.0,0.9995222169135212,2092.0
3,1.0,0.9919614147909968,0.9959644874899112,2488.0
4,0.99606962380685,1.0,0.9980309423347398,1774.0
5,1.0,1.0,1.0,1785.0
accuracy,0.9982190560997328,0.9982190560997328,0.9982190560997328,0.9982190560997328
macro avg,0.9981094151862923,0.9984937356319993,0.9982969427834688,12353.0
weighted avg,0.9982271886266003,0.9982190560997328,0.9982180492435052,12353.0
