,precision,recall,f1-score,support
0,0.2919847328244275,0.7627118644067796,0.42230195970190454,2006.0
1,0.9937915742793791,0.9995539696699376,0.9966644429619747,2242.0
2,0.7354627354627354,0.41249425815342217,0.5285462036492055,2177.0
3,0.7038904899135446,0.3920545746388443,0.5036082474226804,2492.0
4,0.7659235668789809,0.28194607268464245,0.41216795201371037,1706.0
5,0.9716224552745218,0.9104046242774566,0.9400179051029544,1730.0
accuracy,0.6234922690844329,0.6234922690844329,0.6234922690844329,0.6234922690844329
macro avg,0.7437792591055983,0.6265275606385138,0.6338844518087383,12353.0
weighted avg,0.7412427760274883,0.6234922690844329,0.6327763095740232,12353.0
